  Aug. 18  *  164.1        72.4         74.1        17.6       0.0    38.3      125.8       127.9         94.8           45436.7
  Aug. 17  *  157.5        69.0         71.5        17.0       0.0    76.0       81.5       129.1        100.5           45187.7
  Aug. 16  *  164.1        72.4         74.1        17.6       0.0     2.0      162.1       142.5        110.7           45026.4
  Aug. 15  *  176.5        78.5         79.1        18.8       0.0    82.6       93.9       109.0        112.3           44705.4
  Aug. 14  *  176.5        78.5         79.1        18.9       0.0     0.0      176.5        91.7        120.9           44519.6
  Aug. 13  *  170.3        75.5         76.6        18.2       0.0    38.6      131.7        61.7        121.5           44170.1
  Aug. 12  *  148.1        65.9         66.4        15.8       0.0     0.0      148.1        72.0        117.1           43909.3
  Aug. 11  *  156.8        69.0         71.4        16.4       0.0   161.8       -5.0        78.9        120.5           43616.1
  Aug. 10  *  141.9        62.8         63.8        15.2       0.0   134.6        7.3       115.7        133.5           43626.0
  Aug.  9  *  169.6        75.5         76.5        17.6       0.0   143.0       26.6       150.1        149.1           43611.6
  Aug.  8  *  182.8        81.6         81.8        19.4       0.0     0.0      182.8       181.2        162.8           43559.0
  Aug.  7  *  182.8        81.6         81.8        19.4       0.0     0.0      182.8       162.3        162.1           43197.0
  Aug.  6  *  182.8        81.6         81.8        19.4       0.0     4.1      178.7       162.1        161.3           42835.0
  Aug.  5  *  182.1        81.6         81.7        18.8       0.0     2.5      179.6       151.3        143.3           42481.1
  Aug.  4  *  182.1        81.6         81.7        18.8       0.0     0.0      182.1       148.0        107.4           42125.5
  Aug.  3  *  169.6        75.5         76.5        17.6       0.0    81.4       88.2       144.3        105.6           41765.0
  Aug.  2  *  182.1        81.6         81.7        18.8       0.0     0.0      182.1       161.8        111.1           41590.3
  Aug.  1  *  175.8        78.5         79.0        18.2       0.0    51.4      124.4       160.6        103.5           41229.8
  July 31  *  163.4        72.4         74.0        17.0       0.0     0.0      163.4       135.3        113.4           40983.4
  July 30  *  163.4        72.4         74.0        17.0       0.0     0.0      163.4        66.8        117.2           40659.9
  July 29  *  175.8        78.5         79.0        18.2       0.0     0.0      175.8        66.8        119.2           40336.4
  July 28  *  175.8        78.5         79.0        18.2       0.0     0.0      175.8        60.3        121.4           39988.4
  July 27  *  163.4        72.4         74.0        17.0       0.0   165.1       -1.7        46.4        123.0           39640.3
  July 26  *  182.1        81.6         81.7        18.8       0.0   361.6     -179.5        91.4        141.6           39643.7
  July 25  *  190.8        84.7         86.7        19.4       0.0    27.0      163.8       167.6        148.6           39999.0
  July 24  *  169.6        75.5         76.5        17.6       0.0    26.5      143.1       171.5        142.0           39674.7
  July 23     214.7        95.2         97.0        22.5       0.0   108.6      106.0       182.5        143.0           39391.3
  July 22     223.5        98.3        102.1        23.1       0.0     0.0      223.5       199.7        149.1           39181.4
  July 21  *  201.8        88.7         91.8        21.3       0.0     0.0      201.8       191.7        140.7           38738.9
  July 20  *  201.8        88.7         91.8        21.3       0.0    18.8      183.0       129.5        137.8           38339.5
  July 19  *  198.2        88.3         89.2        20.7       0.0     0.0      198.2       112.4        137.1           37977.0
  July 18  *  192.1        85.3         86.8        20.1       0.0     0.0      192.1       103.4        126.2           37584.6
