"Date","Tot_DCU_cfs","Ag_DCU_cfs","Riparian_DCU_cfs","OpenWater_DCU_cfs","Urban_DCU_cfs","Rain_cfs","Tot_URGWOM_cfs","five_day_avg_URGWOM_cfs","ten_day_avg_URGWOM_cfs","Use_to_date_since_Jan1"
2018-06-06,1027.0789183673,465.0230586584,305.502519021034,251.327063851729,5.30972642110872,121.486038071806,905.593134154394,757.166491322208,887.224371918084,137884.536197239
2018-06-07,1022.8789183673,472.023058658397,303.402519021034,242.127063851729,5.30972642110872,22.4860380718059,1000.39313415439,750.466491322208,891.424371918084,139765.936197239
2018-06-08,1028.0789183673,472.523058658398,308.502519021033,241.727063851729,5.30972642110872,-1.31396192819415,1029.39313415439,1007.46649132221,895.424371918084,141705.036197239
2018-06-09,840.078918367296,464.423058658399,295.102519021034,75.2270638517288,5.30972642110872,10.9860380718058,829.093134154392,968.766491322209,877.324371918084,143247.336197239
2018-06-10,825.078918367296,457.523058658398,289.302519021034,72.8270638517288,5.30972642110872,112.686038071806,712.493134154392,899.766491322208,847.624371918084,144558.636197239
2018-06-11,856.178918367296,471.023058658398,303.302519021034,76.5270638517288,5.30972642110872,-2.21396192819415,858.393134154393,890.266491322208,829.224371918084,146158.936197239
2018-06-12,1095.5789183673,509.323058658398,330.202519021033,250.727063851729,5.30972642110872,-2.21396192819415,1097.79313415439,909.766491322209,835.724371918084,148233.236197239
2018-06-13,1004.9789183673,472.123058658398,301.302519021034,226.227063851729,5.30972642110872,190.386038071806,814.693134154393,866.766491322208,942.624371918084,149746.936197239
2018-06-14,949.578918367296,450.923058658398,283.102519021034,210.227063851729,5.30972642110872,53.7860380718059,895.893134154393,880.166491322208,929.924371918084,151421.736197239
2018-06-15,943.278918367296,448.623058658397,280.702519021034,208.727063851729,5.30972642110872,249.786038071805,693.493134154392,876.266491322209,893.424371918084,152695.636197239
2018-06-16,617.378918367296,311.323058658399,179.502519021034,121.127063851729,5.30972642110872,1414.6860380718,-797.506865845607,545.266491322208,723.224371918084,151017.436197239
2018-06-17,799.078918367296,382.623058658397,236.202519021034,174.927063851729,5.30972642110872,-2.21396192819415,801.293134154392,485.966491322209,703.324371918084,152504.636197239
2018-06-18,885.078918367296,422.723058658398,260.802519021034,196.327063851729,5.30972642110872,-2.21396192819415,887.293134154392,500.466491322209,689.124371918084,154162.436197239
2018-06-19,920.978918367296,437.823058658397,272.202519021034,205.827063851729,5.30972642110872,-2.21396192819415,923.193134154394,506.066491322209,698.524371918084,155891.336197239
2018-06-20,983.478918367296,465.923058658397,296.902519021034,215.527063851729,5.30972642110872,-2.21396192819415,985.693134154392,564.466491322208,725.824371918084,157743.836197239
2018-06-21,1003.5789183673,475.823058658399,303.102519021034,219.327063851729,5.30972642110872,-2.21396192819415,1005.79313415439,925.066491322209,740.624371918084,159636.436197239
2018-06-22,1074.9789183673,509.623058658398,328.902519021033,231.027063851729,5.30972642110872,-2.21396192819415,1077.19313415439,980.166491322209,738.424371918084,161669.836197239
2018-06-23,1013.4789183673,482.423058658398,304.902519021034,220.827063851729,5.30972642110872,-2.21396192819415,1015.69313415439,1005.96649132221,758.624371918084,163581.736197239
2018-06-24,977.378918367296,468.523058658398,297.302519021034,206.227063851729,5.30972642110872,-2.21396192819415,979.593134154393,1017.16649132221,767.024371918084,165422.136197239
2018-06-25,963.778918367296,464.823058658397,293.902519021034,199.727063851729,5.30972642110872,-2.21396192819415,965.993134154393,1013.26649132221,794.324371918084,167235.636197239
2018-06-26,1056.1789183673,510.323058658399,319.802519021034,220.827063851729,5.30972642110872,-2.21396192819415,1058.39313415439,1023.76649132221,979.824371918084,169232.036197239
