             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    14349.6 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2015   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2015 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Aug. 21  *  148.8         0.0         47.6       101.2       0.0    23.4      125.5       144.7        150.0           53327.5
  Aug. 20  *  153.6         0.0         47.6       105.9       0.0     5.1      148.5       151.5        146.6           53079.1
  Aug. 19  *  154.8         0.0         47.6       107.2       0.0     0.0      154.8       143.5        146.9           52785.1
  Aug. 18  *  177.2         0.0         53.9       123.3       0.0     8.9      168.4       146.8        140.0           52478.6
  Aug. 17  *  162.5         0.0         49.3       113.3       0.0    36.3      126.3       146.9        140.5           52145.2
  Aug. 16  *  160.0         0.0         49.3       110.7       0.0     0.4      159.6       155.3        146.1           51895.2
  Aug. 15  *  170.4         0.0         50.8       119.5       0.0    61.9      108.4       141.8        149.0           51579.2
  Aug. 14  *  171.5         0.0         50.8       120.7       0.0     0.0      171.5       150.3        157.7           51364.5
  Aug. 13  *  168.9         0.0         50.8       118.0       0.0     0.0      168.9       133.2        159.3           51025.0
  Aug. 12  *  168.3         0.0         49.3       119.0       0.0     0.0      168.3       134.0        156.6           50690.6
  Aug. 11  *  161.6         0.0         49.3       112.3       0.0    69.8       91.8       136.9        155.2           50357.4
  Aug. 10  *  158.9         0.0         45.9       113.0       0.0     7.9      151.0       156.2        162.7           50175.7
  Aug.  9  *  155.9         0.0         45.9       110.0       0.0    69.8       86.1       165.1        137.8           49876.7
  Aug.  8  *  172.9         0.0         45.9       126.9       0.0     0.0      172.9       185.5        137.4           49706.2
  Aug.  7  *  183.0         0.0         50.8       132.1       0.0     0.0      183.0       179.2        118.7           49364.0
  Aug.  6  *  188.3         0.0         55.4       132.9       0.0     0.0      188.3       173.4        103.3           49001.7
  Aug.  5  *  195.4         0.0         53.9       141.5       0.0     0.0      195.4       169.2        100.0           48628.9
  Aug.  4  *  188.3         0.0         50.7       137.6       0.0     0.6      187.7       110.4         94.5           48242.0
