             ET TOOLBOX REACH SUMMARY

      Summary for: URGWOM Reach 8 (San Marcial to Elephant Butte)     

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):     9026.1 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Aug. 28  *  108.7         0.0         46.3        62.4       0.0     0.0      108.7        91.1         69.2           60187.4
  Aug. 27  *   99.7         0.0         42.9        56.8       0.0     1.3       98.3        73.3         59.1           59972.2
  Aug. 26  *  100.4         0.0         43.0        57.4       0.0     7.4       92.9        29.9         55.9           59777.5
  Aug. 25  *   95.1         0.0         41.3        53.8       0.0     1.5       93.5        32.2         55.5           59593.5
  Aug. 24  *   96.1         0.0         41.3        54.8       0.0    34.2       62.0        35.9         56.5           59408.3
  Aug. 23  *   99.1         0.0         41.3        57.8       0.0    79.2       19.9        47.3         62.2           59285.6
  Aug. 22  *  101.2         0.0         42.8        58.4       0.0   219.9     -118.7        44.9         70.9           59246.2
  Aug. 21  *  109.6         0.0         46.1        63.5       0.0     5.1      104.5        81.9         93.5           59481.3
  Aug. 20  *  111.8         0.0         47.4        64.3       0.0     0.0      111.8        78.8         89.0           59274.3
  Aug. 19  *  119.2         0.0         49.6        69.6       0.0     0.0      119.2        77.2         78.8           59053.0
  Aug. 18  *  111.7         0.0         46.1        65.6       0.0   103.8        7.8        77.0         76.9           58816.9
  Aug. 17  *  106.8         0.0         43.0        63.8       0.0    40.6       66.2        97.0         88.4           58801.4
  Aug. 16  *  114.4         0.0         47.5        66.9       0.0    25.2       89.2       105.1         94.1           58670.3
  Aug. 15  *  119.3         0.0         49.4        70.0       0.0    15.8      103.6        99.1         97.8           58493.8
  Aug. 14  *  118.3         0.0         47.8        70.5       0.0     0.0      118.3        80.5         92.6           58288.7
  Aug. 13  *  120.4         0.0         49.3        71.2       0.0    12.9      107.5        76.8         93.7           58054.5
  Aug. 12  *  107.1         0.0         42.8        64.2       0.0     0.0      107.1        79.8         89.3           57841.6
  Aug. 11  *  101.0         0.0         41.2        59.8       0.0    41.8       59.2        83.2         91.4           57629.6
  Aug. 10  *   94.8         0.0         39.5        55.4       0.0    84.6       10.3        96.5         97.8           57512.4
  Aug.  9  *  111.6         0.0         45.9        65.8       0.0    11.8       99.9       104.7        108.1           57492.0
  Aug.  8  *  125.0         0.0         51.0        74.0       0.0     2.2      122.8       110.7        109.9           57294.3
  Aug.  7  *  123.6         0.0         49.3        74.4       0.0     0.0      123.6        98.7        110.6           57051.1
  Aug.  6  *  125.9         0.0         50.9        75.0       0.0     0.1      125.8        99.6        110.9           56806.3
  Aug.  5  *  129.3         0.0         51.1        78.2       0.0    78.0       51.3        99.1        100.5           56557.3
  Aug.  4  *  130.0         0.0         51.1        78.9       0.0     0.0      130.0       111.5         96.7           56455.8
  Aug.  3  *  121.8         0.0         47.7        74.1       0.0    58.8       63.0       109.1         93.1           56198.4
  Aug.  2  *  128.0         0.0         50.9        77.1       0.0     0.0      128.0       122.5         99.4           56073.7
  Aug.  1  *  123.5         0.0         48.8        74.8       0.0     0.2      123.4       122.2        101.8           55820.3
  July 31  *  113.1         0.0         45.7        67.3       0.0     0.0      113.1       101.8        105.3           55576.0
  July 30  *  123.6         0.0         47.7        75.9       0.0     5.5      118.1        81.9        109.5           55352.2
  July 29  *  130.2         0.0         50.9        79.3       0.0     0.1      130.1        77.1        112.7           55118.4
  July 28  *  126.4         0.0         49.3        77.1       0.0     0.0      126.4        76.2        111.4           54860.8
  July 27  *  116.2         0.0         46.8        69.4       0.0    94.8       21.4        81.4        113.1           54610.5
  July 26  *  135.3         0.0         51.4        83.9       0.0   121.8       13.6       108.8        124.3           54568.1
  July 25  *  134.4         0.0         52.4        82.0       0.0    40.3       94.1       137.0        127.4           54541.3
  July 24  *  127.5         0.0         47.9        79.6       0.0     2.0      125.6       148.3        110.6           54355.0
  July 23  *  152.1         0.0         57.4        94.8       0.0     0.0      152.1       146.6        110.8           54106.3
  July 22  *  158.8         0.0         60.1        98.8       0.0     0.0      158.8       144.8         98.8           53805.1
  July 21  *  154.3         0.0         57.5        96.8       0.0     0.0      154.3       139.8         92.7           53490.6
  July 20  *  150.7         0.0         55.8        94.9       0.0     0.1      150.6       117.8         85.5           53185.0
  July 19  *  141.8         0.0         52.0        89.8       0.0    24.9      116.9        72.9         83.1           52886.8
  July 18  *  143.4         0.0         52.6        90.8       0.0     0.0      143.4        74.9         83.8           52655.3
