             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    26795.4 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2018   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2018 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  Aug. 27  *  256.7       182.1         52.2        22.4       0.0     0.0      256.7       208.2        193.9           76568.5
  Aug. 26  *  244.1       173.9         48.7        21.5       0.0   137.9      106.2       154.2        181.7           76060.3
  Aug. 25  *  233.3       165.7         46.8        20.8       0.0    25.3      208.0       151.4        197.9           75850.0
  Aug. 24  *  244.1       173.9         48.7        21.6       0.0     7.2      236.9       163.4        196.8           75438.1
  Aug. 23  *  233.3       165.7         46.8        20.8       0.0     0.1      233.2       173.9        202.1           74969.1
  Aug. 22  *  244.1       173.9         48.7        21.6       0.0   257.4      -13.3       179.6        207.0           74507.4
  Aug. 21  *  268.0       190.7         54.1        23.1       0.0   175.9       92.1       209.3        233.9           74533.7
  Aug. 20  *  268.0       190.7         54.1        23.1       0.0     0.0      268.0       244.4        223.9           74351.4
  Aug. 19  *  289.7       207.1         57.8        24.7       0.0     0.0      289.7       230.2        215.3           73820.8
  Aug. 18  *  268.0       190.7         54.1        23.1       0.0     6.2      261.7       230.2        165.0           73247.3
  Aug. 17  *  256.7       182.1         52.2        22.3       0.0   121.9      134.8       234.4        168.9           72729.1
  Aug. 16  *  271.4       193.1         54.9        23.4       0.0     3.4      268.0       258.6        181.5           72462.1
  Aug. 15  *  289.7       207.1         57.8        24.7       0.0    92.7      197.0       203.4        183.2           71931.6
  Aug. 14  *  289.7       207.1         57.8        24.8       0.0     0.0      289.7       200.4        193.3           71541.6
  Aug. 13  *  289.7       207.1         57.8        24.8       0.0     7.2      282.5        99.8        194.3           70968.0
  Aug. 12  *  255.8       182.1         52.1        21.6       0.0     0.0      255.8       103.4        173.1           70408.6
  Aug. 11  *  243.1       173.9         48.5        20.7       0.0   251.0       -8.0       104.5        176.4           69902.2
  Aug. 10  *  232.3       165.7         46.7        19.9       0.0    50.5      181.9       163.1        194.1           69918.0
  Aug.  9  *  277.8       198.9         55.8        23.1       0.0   491.0     -213.2       186.3        201.1           69557.9
  Aug.  8  *  300.6       215.3         59.7        25.5       0.0     0.0      300.6       288.8        248.6           69980.1
  Aug.  7  *  296.8       212.9         58.9        25.0       0.0    35.6      261.2       242.7        248.5           69384.9
  Aug.  6  *  300.6       215.3         59.7        25.5       0.0    15.5      285.1       248.4        252.3           68867.8
  Aug.  5  *  308.7       221.1         61.8        25.8       0.0    11.1      297.7       225.2        217.3           68303.4
  Aug.  4  *  299.7       215.3         59.6        24.8       0.0     0.0      299.7       215.9        196.9           67714.0
  Aug.  3  *  277.9       198.9         55.8        23.1       0.0   207.7       70.1       208.3        188.1           67120.7
  Aug.  2  *  299.7       215.3         59.6        24.8       0.0    10.2      289.5       254.2        184.3           66981.8
  Aug.  1  *  288.7       207.1         57.6        24.0       0.0   119.9      168.8       256.2        171.6           66408.6
  July 31  *  254.7       182.1         51.9        20.7       0.0     3.2      251.6       209.4        189.3           66074.4
  July 30  *  263.1       188.2         53.1        21.8       0.0     1.7      261.4       178.0        197.2           65576.2
  July 29  *  299.6       215.3         59.6        24.7       0.0     0.0      299.6       168.0        203.9           65058.6
  July 28  *  299.7       215.3         59.6        24.8       0.0     0.0      299.7       114.4        207.5           64465.3
  July 27  *  270.4       193.1         54.7        22.6       0.0   335.5      -65.1        87.0        209.3           63872.0
  July 26  *  299.6       215.3         59.6        24.7       0.0   205.5       94.1       169.2        245.5           64000.8
  July 25  *  308.1       221.1         61.7        25.3       0.0    96.5      211.6       216.4        245.8           63814.5
  July 24  *  255.7       182.1         52.1        21.6       0.0   223.8       31.9       239.7        243.5           63395.5
  July 23  *  311.7       223.3         62.5        25.9       0.0   149.0      162.7       300.5        267.2           63332.3
