             ET TOOLBOX REACH SUMMARY

"      Summary for: URGWOM Reach 5 (Isleta to Bosque, NM gage)         "

      Vegetation classification: MRGCD Ag. & IkonUSu Rip. (MRIU) (Except open water)

      ET TOOLBOX classes (ag. + rip. + open water + urb.):    27430.8 acres

          (Daily URGWOM Water Use = Daily Consumptive Use Total - Rain)

          * = Some or all water use from forecast weather data

"      Note:  Final values are subject to change with updated weather data, which could occur multiple times during periods of local "
             weather station data feed instability.

             --------------- Daily Consumptive Use ---------------    Daily    ----- Daily URGWOM Water Use ----    Total URGWOM Water
    2017   F  Total   Agriculture    Riparian   Open Water   Urban  Eff. Rain   Total    5-Day Avg.  10-Day Avg.    Use To-Date Since
" Month Day M   CFS         CFS          CFS         CFS       CFS      CFS       CFS         CFS          CFS       Jan.  1, 2017 AC-FT"
 ----- --- - ------   -----------    --------   ----------   ------   -----    -------   ----------  -----------    -------------------
  July 24     289.4       210.6         55.6        23.2       0.0    29.9      259.5       126.2        212.0           58847.9
  July 23     300.6       219.6         57.2        23.9       0.0   374.7      -74.0       138.8        216.7           58334.1
  July 22     306.1       223.8         58.1        24.3       0.0   272.3       33.8       207.6        246.0           58480.6
  July 21     302.5       221.2         57.3        24.0       0.0     0.0      302.5       261.6        266.4           58413.7
  July 20     304.5       222.3         57.9        24.3       0.0   195.3      109.1       260.4        258.5           57814.8
  July 19     335.0       243.8         64.3        26.9       0.0    12.2      322.8       297.8        282.0           57598.7
  July 18     317.4       231.5         60.2        25.7       0.0    47.4      270.0       294.7        236.9           56959.6
  July 17     310.9       226.9         58.9        25.0       0.0     7.4      303.4       284.3        241.0           56425.0
  July 16     300.4       218.9         57.2        24.4       0.0     3.6      296.8       271.3        245.2           55824.2
  July 15     309.8       226.0         58.6        25.2       0.0    14.0      295.9       256.6        250.8           55236.5
  July 14     308.4       224.6         58.6        25.1       0.0     1.2      307.2       266.2        250.9           54650.7
  July 13     326.6       237.7         62.6        26.3       0.0   108.3      218.3       179.2        258.2           54042.5
  July 12     340.5       248.1         65.2        27.2       0.0   102.2      238.4       197.7        271.9           53610.3
  July 11     336.7       245.4         64.3        26.9       0.0   113.6      223.1       219.0        276.0           53138.3
  July 10     344.0       249.2         66.5        28.3       0.0     0.0      344.0       245.1        275.8           52696.7
  July  9     342.5       248.7         65.9        27.8       0.0   470.1     -127.6       235.6        276.2           52015.5
  July  8     333.5       243.4         63.4        26.7       0.0    22.9      310.6       337.3        325.9           52268.2
  July  7     344.9       249.6         66.8        28.6       0.0     0.0      344.9       346.1        331.1           51653.2
  July  6     354.9       256.8         68.6        29.5       0.0     1.3      353.6       333.0        325.6           50970.2
  July  5     367.4       266.3         70.7        30.4       0.0    70.9      296.4       306.6        321.4           50270.0
  July  4     380.7       276.0         73.6        31.1       0.0     0.0      380.7       316.7        292.6           49683.1
  July  3     354.5       256.5         68.5        29.5       0.0     0.0      354.5       314.4        285.8           48929.2
  July  2     357.7       259.0         69.1        29.6       0.0    78.0      279.8       316.2        287.0           48227.2
  July  1     337.2       245.3         64.3        27.6       0.0   115.9      221.3       318.2        298.5           47673.3
  June 30     347.5       251.1         67.4        28.9       0.0     0.2      347.2       336.3        314.9           47235.2
  June 29     369.4       267.7         70.7        31.0       0.0     0.0      369.4       268.5        319.3           46547.6
  June 28     363.3       263.4         69.7        30.2       0.0     0.0      363.3       257.1        319.1           45816.3
  June 27     343.8       250.5         65.3        28.0       0.0    54.0      289.7       257.9        316.1           45097.0
  June 26     311.7       227.0         58.8        26.0       0.0     0.0      311.7       278.8        326.6           44523.3
  June 25     306.2       223.2         57.6        25.5       0.0   297.9        8.4       293.5        333.8           43906.1
  June 24     312.2       227.6         58.6        26.0       0.0     0.0      312.2       370.1        370.8           43889.5
  June 23     367.3       266.0         70.3        30.9       0.0     0.0      367.3       381.2        375.3           43271.3
  June 22     394.5       285.1         76.2        33.3       0.0     0.3      394.2       374.4        371.0           42544.1
  June 21     385.7       278.4         74.5        32.7       0.0     0.0      385.7       374.5        366.0           41763.6
  June 20     391.1       282.6         75.4        33.1       0.0     0.0      391.1       374.0        362.0           41000.0
  June 19     367.7       265.9         70.4        31.4       0.0     0.0      367.7       371.5        358.1           40225.6
  June 18     348.3       251.6         67.1        29.5       0.0    15.2      333.1       369.5        356.2           39497.5
  June 17     394.8       285.1         76.2        33.5       0.0     0.0      394.8       367.6        357.0           38838.0
  June 16     383.2       276.6         73.9        32.7       0.0     0.0      383.2       357.5        319.9           38056.3
  June 15     379.0       273.6         72.9        32.5       0.0     0.0      379.0       350.0        313.8           37297.7
  June 14     357.4       257.6         68.8        31.0       0.0     0.0      357.4       344.7        308.2           36547.3
  June 13     323.6       235.3         60.8        27.5       0.0     0.0      323.6       342.9        304.0           35839.7
  June 12     344.6       249.7         65.4        29.5       0.0     0.0      344.6       346.3        299.4           35198.9
  June 11     345.3       249.9         65.7        29.7       0.0     0.0      345.3       282.2        292.7           34516.6
  June 10     352.6       253.6         68.2        30.8       0.0     0.0      352.6       277.7        286.9           33832.9
  June  9     348.2       250.3         67.5        30.4       0.0     0.0      348.2       271.8        273.4           33134.7
  June  8     341.0       246.6         64.9        29.4       0.0     0.0      341.0       265.2        267.1           32445.2
  June  7     330.6       239.1         62.9        28.6       0.0   306.5       24.0       252.4        259.7           31770.1
  June  6     322.7       233.3         61.1        28.3       0.0     0.0      322.7       303.1        284.5           31722.6
  June  5     336.7       242.9         64.6        29.2       0.0    13.9      322.8       296.1        282.5           31083.6
  June  4     315.6       228.5         59.6        27.5       0.0     0.0      315.6       275.1        282.0           30444.4
  June  3     279.0       200.6         53.8        24.6       0.0     2.1      276.9       268.9        284.2           29819.5
  June  2     283.5       204.2         54.5        24.8       0.0     5.9      277.7       267.0        290.8           29271.3
  June  1     289.4       208.8         55.4        25.3       0.0     1.8      287.6       265.8        290.3           28721.5
  May  31     264.7       190.7         50.4        23.6       0.0    47.1      217.6       268.9        290.5           28152.1
  May  30     286.3       205.9         55.1        25.3       0.0     1.5      284.8       289.0        297.0           27721.2
  May  29     293.1       210.6         56.2        26.3       0.0    25.8      267.3       299.6        292.7           27157.4
  May  28     282.6       203.3         54.5        24.9       0.0    11.0      271.6       314.7        286.7           26628.0
  May  27     303.1       218.5         57.6        27.0       0.0     0.0      303.1       314.9        270.7           26090.2
